summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
SMgdhwEmL3zgD_OTB3JIUbvuUYCNobkLoWfPBDYXPq2f1zLoZDqgHPZ8JQ,94,CHALLENGER,I,1216,658,370,4,BOTTOM,"[81, 145, 897, 110, 429]"
G5QYWhjGR49sf0iOZhS1vCmVBbUOjYJwnJMUBr1eqZAp4gy0,107,CHALLENGER,I,1216,507,282,2,JUNGLE,"[17, 59, 76, 64, 5]"
S9VDEdxNQTWXVRtn2G93kid2zezPXKtIKxGYFniu667TxlVP3Si8c8rKsg,57,CHALLENGER,I,1215,325,197,2,JUNGLE,"[104, 254, 64, 76, 78]"
aKTlfTs-TC-dBvhZcHjysaW5PUOAYDRLdEUzkJ4kmQEVRN7l5KB-RfSCKg,126,CHALLENGER,I,1215,322,191,5,UTILITY,"[497, 888, 526, 53, 111]"
CypCzk_jyHEVXRwsKcN-q0azPsvVtk6NGVv0XjfPGyIcT2U,607,CHALLENGER,I,1212,482,272,3,MIDDLE,"[777, 39, 126, 517, 61]"
94zTk6tGKe5Bc59i-Pp8RxVoHSlCvkK04cme2ZM0EUROe1Ie5RmjMrByxw,249,CHALLENGER,I,1208,616,337,2,JUNGLE,"[154, 113, 526, 120, 516]"
aPiTyWZoqI3TbKxUzDIaLmExDO0WmUp49Eify0wKxM_vVXu5no_uxOuQoQ,48,CHALLENGER,I,1206,239,146,4,BOTTOM,"[110, 429, 145, 81, 498]"
affp9f9TJV73f76gjPH46lFTifY3WAx72_xwAHHGG4Z7b8KhtISARHjgQg,522,CHALLENGER,I,1206,847,449,5,UTILITY,"[497, 12, 555, 526, 111]"
-IE1zd8w5MqI95zlN0ECll8FsF2iUq29gkMd80ECs4rBQ9M,427,CHALLENGER,I,1199,466,258,3,MIDDLE,"[166, 142, 238, 497, 39]"
UcFQUvVKXwdO_BXPsPfbDQjxNY_68UKGvKjgjmh47drsL2LV,371,CHALLENGER,I,1195,482,271,1,TOP,"[897, 58, 266, 24, 68]"
pSqEm_9_VBs5km0T8oEV_SRLfrSoFDs9XimZLnN_OpNgPnqZ,245,CHALLENGER,I,1194,312,173,5,UTILITY,"[12, 497, 53, 555, 432]"
-czeG5aie_oLMc-Ah2OrSD52080b44Api8DOpV0NkwaC-ENiC9EoDDWmHA,139,CHALLENGER,I,1193,566,310,5,UTILITY,"[526, 497, 12, 111, 53]"
RARLFr-zre0r4iJ1YqJuv0rxo-0N5zOlMbjfFOOV0mE1RqVlhud9SEu1WA,143,CHALLENGER,I,1189,385,219,1,TOP,"[266, 68, 24, 897, 150]"
qBFNaLJIpNms1DV16DMV1QQNuQysartBKbyL4rwdKSwx4OdAk1s8IuU9ZA,65,CHALLENGER,I,1187,300,186,3,MIDDLE,"[61, 268, 134, 103, 236]"
Vp4kOJWeo8rjCtBc15Tr6DSVVVl7HsO2yPpFiPWoPEzGylg,674,CHALLENGER,I,1186,267,158,4,BOTTOM,"[145, 81, 110, 429, 61]"
muImi7DL5IBMO8D1HJLLQhRuorJ4wEJb1dgr1zU8Hp7_4uYz,284,CHALLENGER,I,1184,549,300,1,TOP,"[39, 84, 897, 777, 157]"
1mxrMEkL0yjOsSjN8vVteNWEiMW3X0lWoaXgAm_SnC8xsDIs,401,CHALLENGER,I,1181,517,283,2,JUNGLE,"[64, 234, 145, 104, 777]"
sN_dAONO4HV-1rTYTfffJujQA6pzeW5fP9YyswajoxLENPg,333,CHALLENGER,I,1181,413,238,2,JUNGLE,"[64, 76, 59, 163, 234]"
9XjYlzgxVLtlEt0ASYr_H7qlA4BoxxcCoF7q0MYt0JawUiU,742,CHALLENGER,I,1177,604,327,2,JUNGLE,"[120, 121, 421, 54, 113]"
sDNo-ff25LvXlnBIP2gGLmyQJOUXQ_YxR_sAo5KFTOZo0ErjXdKocyeQTw,152,CHALLENGER,I,1175,332,183,4,BOTTOM,"[429, 523, 145, 110, 498]"
mqg30mfGQpgBsmqjMLAOtOw6QFEFOYF1EnSfLMDyxvSAJQ,330,CHALLENGER,I,1168,443,251,1,TOP,"[24, 126, 64, 68, 79]"
zu8xa3zcyyYa2C5V_qx2m2JU5R4lxCK9JMjeCHc8H1Rn1s9rl9BL4Xonbg,427,CHALLENGER,I,1168,1166,610,1,TOP,"[897, 266, 58, 24, 68]"
jeTIaB4C6FrrOqfnVnTDE8KsIX4APeuRnhNNOKl_-a6aNbU,710,CHALLENGER,I,1166,862,467,2,JUNGLE,"[64, 59, 113, 78, 234]"
W37RDcoBEua1eBAgJ5bPk5yOVQO2qicGuxwgBAZPo27I5wjAupHzsLk8Qw,192,CHALLENGER,I,1163,491,276,2,JUNGLE,"[64, 59, 200, 163, 121]"
hyPU2ZnXhoUJogyOgJGnICjjl_meOu5-aHX3m_pVN_9mVjmas6EIqIVJfg,247,CHALLENGER,I,1161,280,166,4,BOTTOM,"[145, 222, 432, 498, 221]"
Bj1zOSs-UirMiePgp-vwmnHg2_9T3Yl8oqkUdjBHYZTIKa9BWEJ0eJBkKw,86,CHALLENGER,I,1155,528,289,5,UTILITY,"[497, 111, 12, 888, 18]"
vA5-EbcsNksguGVGHPJVIVFic-QNfYa8cN3VbcF3hgHeXyo,483,CHALLENGER,I,1155,366,209,2,JUNGLE,"[68, 163, 104, 115, 143]"
4iD729PCx48y_V7eoOrhC5qnCxAI4c2W4aVZFgy9aPyV9EuCvpWXsYUp0Q,128,CHALLENGER,I,1154,233,144,3,MIDDLE,"[777, 910, 84, 126, 517]"
e7VUhYqHB6jQm3Ccv6rXAw47H0EHGhOZW83rDLMapa03q4MFaSl6Ptobzw,127,CHALLENGER,I,1151,589,328,3,MIDDLE,"[910, 163, 115, 134, 22]"
jlwjfgl7PxRqGCLi09CMQhxANll9islZFwvU3LHyn9Oh8KE,720,CHALLENGER,I,1151,323,194,3,MIDDLE,"[517, 84, 777, 897, 126]"
et_AxL3L9_DmP43C_yOqMg0tiXmEPixKB6_N1Ebk5hmj5V8,487,CHALLENGER,I,1149,480,269,1,TOP,"[24, 266, 58, 777, 897]"
1B76IAZoDn9WklLsCb16CyJh8JL_jNNyk6MKRG5rQZZsPVg,506,CHALLENGER,I,1141,530,301,2,JUNGLE,"[76, 59, 266, 64, 121]"
CUpZpY4f206yttWgf3R7xmFA_6NNmtmDL5FDsED4wE0IloU,681,CHALLENGER,I,1140,613,333,5,UTILITY,"[526, 497, 555, 432, 12]"
aTdE6dnf88ych-ndOTwUr9Va-AM0ykaW0Db2vjbzFJlzW-4eY-APinsFig,491,CHALLENGER,I,1137,862,457,3,MIDDLE,"[777, 126, 897, 84, 518]"
da-1QeWA2UFUnBp6trWYuAyRgLwvyx96flh7ae00I7EKiB_ouYKxwSWEGQ,414,CHALLENGER,I,1134,1132,591,5,UTILITY,"[526, 497, 111, 12, 888]"
Z5du8lZu7jOLB3-HSt1nqqX5QPV-w42if7nzKygF3W1_O7I,582,CHALLENGER,I,1129,1545,802,2,JUNGLE,"[200, 64, 91, 245, 234]"
