summonerId,gameCreatedAt,gameDuration,assists,CSperMinute,baronKills,bountyLevel,champExperience,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,deaths,detectorWardsPlaced,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,kills,lane,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,timePlayed,totalMinionsKilled,totalTimeSpentDead,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-06T12:58:11.000Z,2117,10,7.8790741615493625,0,0,19768,18,84,akali,4205,4749,4205,4,2,0,False,False,False,False,17176,16400,MIDDLE,0,0,0,3089,3152,3157,3020,1058,3135,3364,8,MIDDLE,4,0,0,0,0,0,SOLO,0,209,46,108,22,6,12,2,4,2117,278,153,2,2,7,0,22,2,4,5,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-04T17:31:13.000Z,1867,7,5.945366898768077,0,3,16100,16,517,sylas,7200,16803,7200,4,5,0,True,False,False,False,19310,16785,MIDDLE,1,2,0,3135,6656,3157,3041,3089,3111,3364,23,MIDDLE,19,0,0,0,1,0,SOLO,0,105,71,254,26,6,12,5,4,1867,185,146,3,3,3,0,31,5,10,7,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-04T16:55:40.000Z,1752,6,9.349315068493151,0,0,18070,17,777,yone,2223,9475,2223,6,6,0,False,False,False,False,16750,15285,MIDDLE,0,0,2,3181,3156,2421,3006,3031,6672,3364,10,TOP,20,0,0,0,0,0,DUO,0,318,91,101,10,3,12,4,4,1752,273,170,1,1,8,0,38,7,10,10,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-04T16:04:10.000Z,1274,10,7.959183673469387,0,2,12109,14,4,twistedfate,2298,2298,2298,3,3,0,False,False,False,False,10456,8925,MIDDLE,0,0,0,3086,6656,2033,3158,1082,3100,3364,3,MIDDLE,0,0,0,0,0,0,SOLO,0,89,169,0,14,6,12,5,4,1274,169,99,2,3,0,0,19,3,5,4,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-04T15:31:57.000Z,933,2,7.652733118971061,0,0,7412,11,84,akali,262,2940,262,5,1,0,False,False,False,False,6116,5075,MIDDLE,0,0,0,1054,3152,2031,0,0,3020,3364,2,NONE,0,0,0,0,0,0,SUPPORT,0,98,25,36,7,2,12,2,4,933,119,94,1,1,2,0,10,1,1,5,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-03T19:41:30.000Z,1900,13,9.473684210526315,0,2,20089,18,777,yone,8381,35509,8381,2,10,0,False,False,False,False,16996,14800,MIDDLE,1,1,1,3031,3026,0,3181,3006,6672,3363,8,JUNGLE,17,1,0,1,0,0,NONE,0,348,94,111,11,5,12,3,4,1900,300,87,3,4,7,0,35,10,5,19,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-03T18:43:21.000Z,1836,11,1.3071895424836601,1,0,9296,12,518,neeko,925,3459,925,5,10,0,False,False,False,False,8199,7750,UTILITY,0,0,0,3853,3152,2055,3108,3111,3191,3364,2,BOTTOM,4,0,0,0,1,0,SOLO,0,71,136,36,9,7,3,4,4,1836,40,95,0,0,3,0,92,12,18,47,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-23T06:36:08.000Z,912,9,19.210526315789476,0,1,21308,18,61,orianna,1958,4804,1958,10,5,0,False,False,False,False,15747,15350,MIDDLE,0,0,3,3020,0,3157,4645,6655,3089,3363,8,MIDDLE,6,0,0,1,0,0,SOLO,0,267,178,108,13,6,12,4,4,2132,292,247,1,1,10,0,32,6,9,17,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-23T05:50:49.000Z,1694,5,4.887839433293979,0,0,10121,13,23,tryndamere,2341,4750,2341,8,2,0,False,False,False,False,8591,7430,MIDDLE,0,0,0,1054,3006,1018,1018,6672,1038,3364,6,TOP,0,0,0,0,0,0,DUO,0,43,28,69,6,6,6,3,4,1330,138,237,0,0,7,0,16,2,4,4,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-22T18:04:10.000Z,1749,1,0.8919382504288165,0,0,1432,4,114,fiora,0,0,0,1,0,0,True,False,False,False,1456,1425,TOP,0,0,0,1055,2031,2055,3057,0,0,3340,0,NONE,0,0,0,0,0,0,SUPPORT,0,19,4,2,0,1,12,1,4,274,26,8,0,0,0,0,3,1,1,2,False
